name,ticker
FAURECIA,EO
FAYENC.SARREGUEMI.,FAYE
FBD HOLDINGS PLC,EG7
FD,MLFDV
FD TECHNOLOGIES,GYQ
FDJ,FDJ
FERM.CAS.MUN.CANNE,FCMC
FERMENTALG,FALG
FI BELGO-TUNISIENN,
FIDUCIAL OFF.SOL.,SACI
FIDUCIAL REAL EST.,ORIA
FIGEAC AERO,FGA
FILL UP MEDIA,ALFUM
FIMMOBEL,
FIN.ETANG BERRE,BERR
FIN.ETANG BERRE PF,EBPF
FIN.OUEST AFRICAIN,FOAF
FINANCIERE MARJOS,FINM
FINASUCRE,
FINATIS,FNTS
FINAXO,MLFXO
FIPP,FIPP
FIRSTCAUTION,MLFIR
FL ENTERTAINMENT,FLE
FLE WARRANTS,FLEW
FLEURY MICHON,ALFLE
FLEX LNG,FLNG
FLEXDEAL,FLEXD
FLORIDIENNE,FLOB
FLOW TRADERS,FLOW
FLOWSPARKS,UNI
FLUTTER ENTERTAIN,FLTR
FLUXYS BELGIUM D,FLUX
FLYR,FLYR
FNAC DARTY,FNAC
FNPTECHNOLOGIESSA,MLFNP
FOCUSENTERTAINMENT,ALFOC
FONCIERE 7 INVEST,LEBL
FONCIERE EURIS,EURS
FONCIERE INEA,INEA
FONCIERE LYONNAISE,FLY
FONCIERE VINDI,MLVIN
FONCIERE VOLTA,SPEL
FOOT LOCKER,FOOTL
FORESTIERE EQUAT.,FORE
FORFARMERS,FFARM
FORSEE POWER,FORSE
FOUNTAIN,FOU
FOUNTAINE PAJOT,ALFPC
FOYER,
FRANCAISE ENERGIE,FDE
FRANCE SOIR GROUPE,MLFSG
FRANCE TOURISME,MLFTI
FREELANCE.COM,ALFRE
FREY,FREY
FROID INVEST,
FRONTLINE,FRO
FRØY,FROY
FUGRO,FUR
FUT.CLUBE PORTO,FCP
G.A.I.,MLGAI
GALAPAGOS,GLPG
GALEO,MLGAL
GALIMMO,GALIM
GALP ENERGIA-NOM,GALP
GAMING INNOVATION,GIG
GASCOGNE,ALBI
GAUMONT,GAM
GAUSSIN,ALGAU
GBL,GBLB
GC RIEBER SHIPPING,RISH
GEA GRENOBL.ELECT.,GEA
GECI INTL,ALGEC
